Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Correspondence Address,Publisher
"Khalil H.A., Darwish S., Ibrahim Y.M., Hassan O.F.","57222515060;16066562900;57216269978;57211915862;","3D-MRI brain tumor detection model using modified version of level set segmentation based on dragonfly algorithm",2020,"Symmetry","12","8", 1256,"","",,1,"10.3390/SYM12081256","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089538882&doi=10.3390%2fSYM12081256&partnerID=40&md5=ec55008880dda1ce61676c17a0ad8c7b","Department of Mathematics, Faculty of Science, Zagazig University, Zagazig, 44519, Egypt; Department of Information Technology, Institute of Graduate Studies and Research, Alexandria University, Alexandria, 21526, Egypt; Faculty of Science, Department of Mathematics, Damanhour University, Damanhour, 22511, Egypt","Khalil, H.A., Department of Mathematics, Faculty of Science, Zagazig University, Zagazig, 44519, Egypt; Darwish, S., Department of Information Technology, Institute of Graduate Studies and Research, Alexandria University, Alexandria, 21526, Egypt; Ibrahim, Y.M., Department of Information Technology, Institute of Graduate Studies and Research, Alexandria University, Alexandria, 21526, Egypt; Hassan, O.F., Faculty of Science, Department of Mathematics, Damanhour University, Damanhour, 22511, Egypt","3D-MRI tumor detection; Bio-inspired clustering; Level set segmentation",,,,,,"Darwish, S.; Department of Information Technology, Egypt; email: saad.darwish@alexu.edu.eg","MDPI AG"
"Garcia-Hernandez L., Garcia-Hernandez J.A., Salas-Morera L., Carmona-Muñoz C., Alghamdi N.S., de Oliveira J.V., Salcedo-Sanz S.","35748396400;57210104355;7801523301;57212529717;57215928438;7202554726;12789591800;","Addressing Unequal Area Facility Layout Problems with the Coral Reef Optimization algorithm with Substrate Layers",2020,"Engineering Applications of Artificial Intelligence","93",, 103697,"","",,2,"10.1016/j.engappai.2020.103697","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084674692&doi=10.1016%2fj.engappai.2020.103697&partnerID=40&md5=2ae4e308d722f675f983bf453369cead","Area of Project Engineering, University of Cordoba, Spain; Princess Nourah bint Abdulrahman University, College of Computer and Information Sciences, Riyadh, Saudi Arabia; Universidad del Algarve, Portugal; Department of Signal Processing and Communications, Universidad de Alcalá, Alcalá de Henares, Madrid, Spain","Garcia-Hernandez, L., Area of Project Engineering, University of Cordoba, Spain; Garcia-Hernandez, J.A., Area of Project Engineering, University of Cordoba, Spain; Salas-Morera, L., Area of Project Engineering, University of Cordoba, Spain; Carmona-Muñoz, C., Area of Project Engineering, University of Cordoba, Spain; Alghamdi, N.S., Princess Nourah bint Abdulrahman University, College of Computer and Information Sciences, Riyadh, Saudi Arabia; de Oliveira, J.V., Universidad del Algarve, Portugal; Salcedo-Sanz, S., Department of Signal Processing and Communications, Universidad de Alcalá, Alcalá de Henares, Madrid, Spain","Bio-inspired algorithms; Coral Reefs Optimization; Facility Layout; Meta-heuristics; Unequal Area Facility Layout Problem","Cell proliferation; Manufacture; Plant layout; Reefs; Diversity generations; Industrial manufacturing; Optimization algorithms; Optimization criteria; Optimization problems; Optimization techniques; State-of-the-art algorithms; Unequal area facility layout problems; Optimization","Ministry of Economy, Trade and Industry

Princess Nourah Bint Abdulrahman University

Ministerio de Economía, Industria y Competitividad, Gobierno de España","This research was funded by the Deanship of Scientific Research at Princess Nourah bint Abdulrahman University through the Fast-track Research Funding Program. Part of this work has been partially supported by the project TIN2017-85887-C2-2-P of the Spanish Ministry of Economy, Industry and Competitiveness, Government of Spain. The authors acknowledge the funding by the Junta de Andaluc?a, Spain, under the Research Project UCO-FEDER 18 REF. 1265277 MD A1.","This research was funded by the Deanship of Scientific Research at Princess Nourah bint Abdulrahman University through the Fast-track Research Funding Program. Part of this work has been partially supported by the project TIN2017-85887-C2-2-P of the Spanish Ministry of Economy, Industry and Competitiveness, Government of Spain . The authors acknowledge the funding by the Junta de Andalucía, Spain , under the Research Project UCO-FEDER 18 REF. 1265277 MD A1 .",,"Garcia-Hernandez, L.; Area of Project Engineering, Spain; email: ir1gahel@uco.es","Elsevier Ltd"
"Chu X., Cai F., Gao D., Li L., Cui J., Xu S.X., Qin Q.","55342211500;57197727148;57210205122;57217208531;9634951100;57221221548;36172761500;","An artificial bee colony algorithm with adaptive heterogeneous competition for global optimization problems",2020,"Applied Soft Computing Journal","93",, 106391,"","",,2,"10.1016/j.asoc.2020.106391","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084522850&doi=10.1016%2fj.asoc.2020.106391&partnerID=40&md5=f870e1b2e7e3d7ad1057cbb4a25bb50c","College of Management, Shenzhen University, China; Institute of Big Data Intelligent Management and Decision, Shenzhen University, China; School of Economics and Management, University of Science and Technology Beijing, China; Institute of Physical Internet, School of Electrical and Information Engineering, Jinan University, China","Chu, X., College of Management, Shenzhen University, China, Institute of Big Data Intelligent Management and Decision, Shenzhen University, China; Cai, F., College of Management, Shenzhen University, China; Gao, D., College of Management, Shenzhen University, China; Li, L., College of Management, Shenzhen University, China; Cui, J., School of Economics and Management, University of Science and Technology Beijing, China; Xu, S.X., Institute of Physical Internet, School of Electrical and Information Engineering, Jinan University, China; Qin, Q., College of Management, Shenzhen University, China","Adaptive strategy; Artificial bee colony algorithm; Global optimization problems; Heterogeneous searching","Biomimetics; Artificial bee colony algorithms; Artificial bee colony algorithms (ABC); Benchmark functions; Comparative studies; Global optimization problems; Numerical comparison; Real-world problem; Search capabilities; Global optimization","National Natural Science Foundation of China","This work was partially supported by the National Natural Science Foundation of China (Grant No. 71971142 and 71871146 ), the Major Research plan of the National Natural Science Foundation of China (No. 91846301 ), and the Major Project for National Natural Science Foundation of China (No. 71790615 and 71991460 ). Co-authors Fulin Cai and Da Gao contribute equally to this manuscript.",,,"Qin, Q.; College of Management, China; email: qdqin@szu.edu.cn","Elsevier Ltd"
"Jalali S.M.J., Ahmadian S., Khosravi A., Mirjalili S., Mahmoudi M.R., Nahavandi S.","57194543379;56538161600;56234594800;51461922300;56684432000;55992860000;","Neuroevolution-based autonomous robot navigation: A comparative study",2020,"Cognitive Systems Research","62",,,"35","43",,11,"10.1016/j.cogsys.2020.04.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085146964&doi=10.1016%2fj.cogsys.2020.04.001&partnerID=40&md5=7c165f57edee50bb94bde43b5eda7e18","Institute for Intelligent Systems Research and Innovation (IISRI), Deakin University, Waurn PondsVIC  3216, Australia; Kermanshah University of Technology, Kermanshah, Iran; Centre for Artificial Intelligence Research and Optimisation, Torrens University Australia, Fortitude Valley, Brisbane, QLD  4006, Australia; Institute of Research and Development, Duy Tan University, Da Nang, 550000, Viet Nam; Department of Statistics, Faculty of Science, Fasa University, Fasa, Fars, Iran","Jalali, S.M.J., Institute for Intelligent Systems Research and Innovation (IISRI), Deakin University, Waurn PondsVIC  3216, Australia; Ahmadian, S., Kermanshah University of Technology, Kermanshah, Iran; Khosravi, A., Institute for Intelligent Systems Research and Innovation (IISRI), Deakin University, Waurn PondsVIC  3216, Australia; Mirjalili, S., Centre for Artificial Intelligence Research and Optimisation, Torrens University Australia, Fortitude Valley, Brisbane, QLD  4006, Australia; Mahmoudi, M.R., Institute of Research and Development, Duy Tan University, Da Nang, 550000, Viet Nam, Department of Statistics, Faculty of Science, Fasa University, Fasa, Fars, Iran; Nahavandi, S., Institute for Intelligent Systems Research and Innovation (IISRI), Deakin University, Waurn PondsVIC  3216, Australia","Autonomous robot; Evolutionary computation; Neural network; Neuroevolution","Backpropagation; Biomimetics; Gradient methods; Multilayer neural networks; Particle swarm optimization (PSO); Area under the curves; Autonomous robot navigation; Evolutionary Optimization Techniques; Evolutionary population; Exploration and exploitation; Gradient descent algorithms; Levenberg-Marquardt; Multilayer perceptron neural networks; Robots; accuracy; Article; back propagation; comparative study; evolutionary algorithm; Levenberg Marquardt algorithm; multilayer perceptron; mutation; prediction; priority journal; process optimization",,,,,"Mahmoudi, M.R.; Institute of Research and Development, Viet Nam; email: mohammadrezamahmoudi@duytan.edu.vn","Elsevier B.V."
"Mothukuri R., Basaveswararao B., Bulla S.","57211540326;57192010800;57203782658;","Judgement classification using hybrid ANN-shuffled frog leaping model on cyber crime judgement database",2020,"Revue d'Intelligence Artificielle","34","4",,"445","456",,,"10.18280/ria.340409","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095608640&doi=10.18280%2fria.340409&partnerID=40&md5=957d605490b1114410ec9a7db0448e88","Dept. of CSE, Acharya Nagarjuna University, Guntur, 522510, India; Dept. of CSE, Vigna's Foundation of Science, Technology and Research, Guntur, 522213, India","Mothukuri, R., Dept. of CSE, Acharya Nagarjuna University, Guntur, 522510, India; Basaveswararao, B., Dept. of CSE, Acharya Nagarjuna University, Guntur, 522510, India; Bulla, S., Dept. of CSE, Vigna's Foundation of Science, Technology and Research, Guntur, 522213, India","Judgement case classification; Optimization; Shuffled frog leaping model","Biomimetics; Computer crime; Crime; Data Analytics; Connected networks; Cyber monitoring; Cyber-crimes; Digital forms; Extract informations; Feed forward; Research problems; Shuffled frog leaping; Classification (of information)",,,,,,"International Information and Engineering Technology Association"
"Berlin S.J., John M.","57193207874;7202835946;","R-STDP Based Spiking Neural Network for Human Action Recognition",2020,"Applied Artificial Intelligence","34","9",,"656","673",,,"10.1080/08839514.2020.1765110","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085518812&doi=10.1080%2f08839514.2020.1765110&partnerID=40&md5=0b822b15c7854e6240dca41ecdd7dc36","Department of Electronics Engineering, Madras Institute of Technology, Anna University, Chennai, India","Berlin, S.J., Department of Electronics Engineering, Madras Institute of Technology, Anna University, Chennai, India; John, M., Department of Electronics Engineering, Madras Institute of Technology, Anna University, Chennai, India",,"Benchmarking; Biomimetics; Gradient methods; Neural networks; Reinforcement learning; Automatic monitoring; Computationally efficient; Gradient descent techniques; Human-action recognition; Spike time dependent plasticities; Spiking neural network(SNN); Spiking neural networks; Video surveillance systems; Security systems",,,,,"Berlin, S.J.; Department of Electronics Engineering, India; email: jebaberlin@gmail.com","Taylor and Francis Inc."
"Khawwaf J., Zheng J., Wang H., Man Z.","57191156072;56527532700;55539712200;7006139707;","Practical model-free robust estimation and control design for an underwater soft IPMC actuator",2020,"IET Control Theory and Applications","14","11",,"1508","1515",,,"10.1049/iet-cta.2019.1147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088571148&doi=10.1049%2fiet-cta.2019.1147&partnerID=40&md5=7e67637579a2049c59f3560697fd869c","Faculty of Science, Engineering and Technology, Swinburne University of TechnologyVIC  3122, Australia; Faculty of Engineering, University of Kufa, Kufa, Al-Najaf Al-Ashraf, Iraq; Discipline of Engineering and Energy, Murdoch UniversityWA  6150, Australia","Khawwaf, J., Faculty of Science, Engineering and Technology, Swinburne University of TechnologyVIC  3122, Australia, Faculty of Engineering, University of Kufa, Kufa, Al-Najaf Al-Ashraf, Iraq; Zheng, J., Faculty of Science, Engineering and Technology, Swinburne University of TechnologyVIC  3122, Australia; Wang, H., Discipline of Engineering and Energy, Murdoch UniversityWA  6150, Australia; Man, Z., Faculty of Science, Engineering and Technology, Swinburne University of TechnologyVIC  3122, Australia",,"Actuators; Biomimetics; Medical robotics; Microrobots; Robustness (control systems); Sliding mode control; Uncertainty analysis; Extended state observer; High precision tracking; Hysteresis and creeps; Ionic polymer metal composites; Medical micro robots; Non-singular terminal sliding modes; Sliding mode controller; Trajectory tracking; Controllers",,,,,"Khawwaf, J.; Faculty of Science, Australia; email: jshannanh@swin.edu.au","Institution of Engineering and Technology"
"Frazier P.A., Jamone L., Althoefer K., Calvo P.","57209853097;24479375600;6701489118;24328999500;","Plant Bioinspired Ecological Robotics",2020,"Frontiers in Robotics and AI","7",, 79,"","",,1,"10.3389/frobt.2020.00079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088825253&doi=10.3389%2ffrobt.2020.00079&partnerID=40&md5=d5577b42d0ef8a746c430da0681b04e4","MINTLab - Minimal Intelligence Lab, Universidad de Murcia, Murcia, Spain; Center for the Ecological Study of Perception and Action, University of Connecticut, Storrs, CT, United States; Centre for Advanced Robotics @ Queen Mary (ARQ), School of Electronic Engineering and Computer Science, Queen Mary University of London, London, United Kingdom","Frazier, P.A., MINTLab - Minimal Intelligence Lab, Universidad de Murcia, Murcia, Spain, Center for the Ecological Study of Perception and Action, University of Connecticut, Storrs, CT, United States; Jamone, L., Centre for Advanced Robotics @ Queen Mary (ARQ), School of Electronic Engineering and Computer Science, Queen Mary University of London, London, United Kingdom; Althoefer, K., Centre for Advanced Robotics @ Queen Mary (ARQ), School of Electronic Engineering and Computer Science, Queen Mary University of London, London, United Kingdom; Calvo, P., MINTLab - Minimal Intelligence Lab, Universidad de Murcia, Murcia, Spain","bioinspired robotics; ecological psychology; endogenous control; plant signaling and behavior; tau theory",,"Office of Naval Research Global

NIST Center for Neutron Research

Engineering and Physical Sciences Research Council","Funding. This research is partially supported by the Office of Naval Research Global (Award # N62909-19-1-2015) to PF and PC, and by the EPSRC UK (with projects MAN3, EP/S00453X/1, and NCNR, EP/R02572X/1) to LJ and KA.",,,"Calvo, P.; MINTLab - Minimal Intelligence Lab, Spain; email: fjcalvo@um.es","Frontiers Media S.A."
"Liu X., Luo L., Chen L., Li J.","55716994200;55903102400;57214203162;57213424540;","Research on Bio-inspired Design Based on C-K Theory for Product Innovation [基于C-K理论的产品仿生创新设计研究]",2020,"Jixie Gongcheng Xuebao/Journal of Mechanical Engineering","56","13",,"207","217",,,"10.3901/JME.2020.13.207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090806129&doi=10.3901%2fJME.2020.13.207&partnerID=40&md5=2e6bd12c2bf3a08511c739bea36971aa","School of Mechanical Engineering and Automation, Fuzhou University, Fuzhou, 350116, China","Liu, X., School of Mechanical Engineering and Automation, Fuzhou University, Fuzhou, 350116, China; Luo, L., School of Mechanical Engineering and Automation, Fuzhou University, Fuzhou, 350116, China; Chen, L., School of Mechanical Engineering and Automation, Fuzhou University, Fuzhou, 350116, China; Li, J., School of Mechanical Engineering and Automation, Fuzhou University, Fuzhou, 350116, China","Bio-inspired innovation; Bionic prototype; C-K theory; Operators; Pipeline micro-robot","Biology; Biomimetics; Machine design; Microrobots; Bio-inspired designs; Convergence theory; Dynamic evolution; Engineering problems; Innovation design; Knowledge theory; Process Modeling; Product innovation; Product design",,,,,,"Editorial Office of Chinese Journal of Mechanical Engineering"
"Tang X.-S., Wei H., Hao K., Zhao M., Li D.","56463255100;7402516480;56386923100;55143406500;37013419900;","Integrating pixels and segments: A deep-learning method inspired by the informational diversity of the visual pathways",2020,"Neurocomputing","396",,,"314","323",,,"10.1016/j.neucom.2018.10.096","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065156593&doi=10.1016%2fj.neucom.2018.10.096&partnerID=40&md5=6263c6a4e888803dd7977f199d68f1c2","Engineering Research Center of Digitized Textile Apparel Technology, Ministry of Education, College of Information Science and Technology, Donghua University, Shanghai, 201620, China; Laboratory of Cognitive Model and Algorithm, School of Computer Science, Fudan University, No. 825 Zhangheng Road, Shanghai, 201203, China","Tang, X.-S., Engineering Research Center of Digitized Textile Apparel Technology, Ministry of Education, College of Information Science and Technology, Donghua University, Shanghai, 201620, China; Wei, H., Laboratory of Cognitive Model and Algorithm, School of Computer Science, Fudan University, No. 825 Zhangheng Road, Shanghai, 201203, China; Hao, K., Engineering Research Center of Digitized Textile Apparel Technology, Ministry of Education, College of Information Science and Technology, Donghua University, Shanghai, 201620, China; Zhao, M., Engineering Research Center of Digitized Textile Apparel Technology, Ministry of Education, College of Information Science and Technology, Donghua University, Shanghai, 201620, China; Li, D., Engineering Research Center of Digitized Textile Apparel Technology, Ministry of Education, College of Information Science and Technology, Donghua University, Shanghai, 201620, China","Convolutional neural network; Deep neural networks; Segment-based representation; Stacked autoencoder; Visual cortex modelling","Biomimetics; Classification (of information); Convolution; Drawing (graphics); Geometry; Neural networks; Pixels; Auto encoders; Classification accuracy; Convolutional neural network; Informational diversity; Multiple representation; Pixel-based information; Segment-based; Visual cortexes; Deep neural networks; article; deep learning; visual cortex","National Natural Science Foundation of China

Fundamental Research Funds for the Central Universities","This work was supported in part by the Fundamental Research Funds for the Central Universities (Nos. 2232019G-09 , and 2232017D-08 ), the National Natural Science Foundation of China (Nos. 61771146 , 61601112 , 61603089 , and 61806051 ), the Shanghai Sailing Program (No. 17YF1426100).",,,"Hao, K.; Engineering Research Center of Digitized Textile Apparel Technology, China; email: krhao@dhu.edu.cn","Elsevier B.V."
"Richards C., Slaimi A., O’connor N.E., Barrett A., Kwiatkowska S., Regan F.","57210595528;57218286747;7103192405;56706869800;57218287804;7004565214;","Bio-inspired surface texture modification as a viable feature of future aquatic antifouling strategies: A review",2020,"International Journal of Molecular Sciences","21","14", 5063,"1","20",,4,"10.3390/ijms21145063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088610167&doi=10.3390%2fijms21145063&partnerID=40&md5=747193fc94857b39f17e087ce03d5a72","DCU Water Institute, School of Chemical Sciences, Dublin City University, Glasnevin, Dublin 9, Ireland; Insight Centre for Data Analytics, Dublin City University, Dublin 9, Ireland","Richards, C., DCU Water Institute, School of Chemical Sciences, Dublin City University, Glasnevin, Dublin 9, Ireland; Slaimi, A., Insight Centre for Data Analytics, Dublin City University, Dublin 9, Ireland; O’connor, N.E., Insight Centre for Data Analytics, Dublin City University, Dublin 9, Ireland; Barrett, A., DCU Water Institute, School of Chemical Sciences, Dublin City University, Glasnevin, Dublin 9, Ireland; Kwiatkowska, S., DCU Water Institute, School of Chemical Sciences, Dublin City University, Glasnevin, Dublin 9, Ireland; Regan, F., DCU Water Institute, School of Chemical Sciences, Dublin City University, Glasnevin, Dublin 9, Ireland","Antifouling; Biofouling; Marine inspiration; Surface modification; Topography","antifouling agent; docosahexaenoic acid; epoxy resin; nanomaterial; biomimetic material; aquatic environment; Article; bacterium adherence; biomimetics; bottlenose dolphin; comparative study; electrospinning; energy dispersive X ray spectroscopy; Escherichia coli; finite element analysis; mathematical analysis; mean corpuscular hemoglobin; microfluidics; multidisciplinary team; Mytilus galloprovincialis; nanofabrication; nonhuman; physical chemistry; scanning electron microscopy; sea surface temperature; signal transduction; stereolithography; surface property; three dimensional printing; Tursiops truncatus; animal; aquatic species; biofouling; biomimetics; chemistry; prevention and control; procedures; Animals; Aquatic Organisms; Biofouling; Biomimetic Materials; Biomimetics; Surface Properties","Science Foundation Ireland

Horizon 2020","The APC was funded partly by funding from the European Union?s Horizon 2020 research and Innovation programme under grant agreement 815278 (Next Evolution in Materials and Models for Ocean Energy NEMMO project) and also has emanated from research conducted with the financial support of Science Foundation Ireland (SFI) under grant number SFI/12/RC/2289 P2.",,,"Regan, F.; DCU Water Institute, Glasnevin, Ireland; email: fiona.regan@dcu.ie","MDPI AG"
"Zeng C., Yang C., Chen Z.","57195945568;57204881979;56021021100;","Bio-inspired robotic impedance adaptation for human-robot collaborative tasks",2020,"Science China Information Sciences","63","7", 170201,"","",,8,"10.1007/s11432-019-2748-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084951833&doi=10.1007%2fs11432-019-2748-x&partnerID=40&md5=0a0dcd65fe5ce8b6791da0ab815e0c5a","School of Automation Science and Engineering, South China University of Technology, Guangzhou, 510641, China; TAMS Group, Informatics, University of Hamburg, Hamburg, D22527, Germany","Zeng, C., School of Automation Science and Engineering, South China University of Technology, Guangzhou, 510641, China; Yang, C., School of Automation Science and Engineering, South China University of Technology, Guangzhou, 510641, China; Chen, Z., TAMS Group, Informatics, University of Hamburg, Hamburg, D22527, Germany","biomimetic control; human-robot collaboration; impedance learning","Biomimetics; Robotics; Bio-inspired approach; Bio-inspired robotics; Collaborative tasks; Dynamic environments; Human motor learning; Human-robot collaboration; Motion trajectories; On-line adaptation; Robots","National Natural Science Foundation of China","This work was supported by National Natural Science Foundation of China (Grant Nos. 61861136009, 61811530281).",,,"Yang, C.; School of Automation Science and Engineering, China; email: cyang@ieee.org","Science in China Press"
"Hong C., Tang D., Quan Q., Cao Z., Deng Z.","57214835964;7401986948;16069056800;57214838153;55536964400;","A combined series-elastic actuator & parallel-elastic leg no-latch bio-inspired jumping robot",2020,"Mechanism and Machine Theory","149",, 103814,"","",,1,"10.1016/j.mechmachtheory.2020.103814","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079270605&doi=10.1016%2fj.mechmachtheory.2020.103814&partnerID=40&md5=33ac193f01aaeb130889c32a90990f76","State Key Laboratory of Robotics and System, Harbin Institute of Technology, Harbin, China","Hong, C., State Key Laboratory of Robotics and System, Harbin Institute of Technology, Harbin, China; Tang, D., State Key Laboratory of Robotics and System, Harbin Institute of Technology, Harbin, China; Quan, Q., State Key Laboratory of Robotics and System, Harbin Institute of Technology, Harbin, China; Cao, Z., State Key Laboratory of Robotics and System, Harbin Institute of Technology, Harbin, China; Deng, Z., State Key Laboratory of Robotics and System, Harbin Institute of Technology, Harbin, China","Bio-inspired design; Energy capacity; Frog-inspired robot; Milli-robotics","Actuators; Antennas; Biomimetics; Robotics; Robots; Bio-inspired designs; Effective energy; Elastic linkage; Energy capacity; Jumping process; Latch mechanisms; Series elastic actuators; Structural robustness; Machine design","Natural Science Foundation of Heilongjiang Province

International Science and Technology Cooperation Programme

Foundation for Innovative Research Groups of the National Natural Science Foundation of China

Higher Education Discipline Innovation Project","This work was supported in part by the Foundation for Innovative Research Groups of the National Natural Science Foundation of China (Grant No. 51521003), in part by the Heilongjiang Provincial Natural Science Foundation of China (Grant No. E2018038), in part by the 111 Project (Project No. B07018), and in part by the International Science and Technology Cooperation Program of China (Project No. 2014DFR50250).","This work was supported in part by the Foundation for Innovative Research Groups of the National Natural Science Foundation of China (Grant No. 51521003 ), in part by the Heilongjiang Provincial Natural Science Foundation of China (Grant No. E2018038), in part by the 111 Project (Project No. B07018), and in part by the International Science and Technology Cooperation Program of China (Project No. 2014DFR50250 ).",,"Quan, Q.; State Key Laboratory of Robotics and System, China; email: quanqiquan@hit.edu.cn","Elsevier Ltd"
"Gélvez N., Espitia H., Bayona J.","57211546024;37261224200;55608267700;","Testing of a virtualized distributed processing system for the execution of bio-inspired optimization algorithms",2020,"Symmetry","12","7", 1192,"","",,,"10.3390/sym12071192","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088586408&doi=10.3390%2fsym12071192&partnerID=40&md5=7fd402b13177eb849efd0f372c5c3878","Facultad de Ingeniería, Universidad Distrital Francisco José de Caldas, Bogotá, 11021-110231588, Colombia; Facultad de Ingeniería, Universidad Escuela Colombiana de Carreras Industriales, Bogotá, 111311, Colombia","Gélvez, N., Facultad de Ingeniería, Universidad Distrital Francisco José de Caldas, Bogotá, 11021-110231588, Colombia; Espitia, H., Facultad de Ingeniería, Universidad Distrital Francisco José de Caldas, Bogotá, 11021-110231588, Colombia; Bayona, J., Facultad de Ingeniería, Universidad Escuela Colombiana de Carreras Industriales, Bogotá, 111311, Colombia","Distributed; Evolutionary computing; Optimization; Virtualization",,,,,,"Espitia, H.; Facultad de Ingeniería, Colombia; email: heespitiac@udistrital.edu.co","MDPI AG"
"Kasthuri S., Nisha Jebaseeli A.","56636043400;57200143097;","Latent dirichlet allocation feature extraction with bio-inspired pigeon feature selection technique for twitter sentiment analysis",2020,"International Journal of Advanced Trends in Computer Science and Engineering","9","4", 325,"6406","6414",,,"10.30534/ijatcse/2020/325942020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090273542&doi=10.30534%2fijatcse%2f2020%2f325942020&partnerID=40&md5=b611d926fd7005fd9b0dee4370ea121e","Department of Computer Science, Govt. Arts & Science College (affiliated to Bharathidasan University), Lalgudi, Trichy, Tamilnadu, India","Kasthuri, S., Department of Computer Science, Govt. Arts & Science College (affiliated to Bharathidasan University), Lalgudi, Trichy, Tamilnadu, India; Nisha Jebaseeli, A., Department of Computer Science, Govt. Arts & Science College (affiliated to Bharathidasan University), Lalgudi, Trichy, Tamilnadu, India","Bio-Inspired Pigeon Feature Selection; Latent Dirichlet Allocation Feature Extraction; Sentiment Analysis; Twitter data",,,,,,,"World Academy of Research in Science and Engineering"
"Zhu B., Zhu J., Chen Q.","57211572824;57209320386;57217989972;","A bio-inspired flight control strategy for a tail-sitter unmanned aerial vehicle",2020,"Science China Information Sciences","63","7", 170203,"","",,4,"10.1007/s11432-019-2764-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085928387&doi=10.1007%2fs11432-019-2764-1&partnerID=40&md5=d13883926abb1e5bd7ed3e395e14b579","Institute of Automation, Nanjing University of Science and Technology, Nanjing, 210094, China; Department of Energy and Power Engineering, Tsinghua University, Beijing, 100084, China","Zhu, B., Institute of Automation, Nanjing University of Science and Technology, Nanjing, 210094, China; Zhu, J., Department of Energy and Power Engineering, Tsinghua University, Beijing, 100084, China; Chen, Q., Institute of Automation, Nanjing University of Science and Technology, Nanjing, 210094, China","climb-glide; energy consumption minimization; flight path; tail-sitter aircraft; total energy control system","Antennas; Biomimetics; Control theory; Energy efficiency; Energy utilization; Flight envelopes; Flight simulators; Unmanned aerial vehicles (UAV); Energy use; Flight control; Flight mode transition; Mechanical power; Per unit; Tail sitter; Total energy; Transition control; Flight control systems",,,,,"Zhu, J.; Department of Energy and Power Engineering, China; email: jianzhong.zhu@outlook.com","Science in China Press"
"Tu Z., Fei F., Deng X.","57195419172;56742952600;7401769189;","Untethered Flight of an At-Scale Dual-Motor Hummingbird Robot with Bio-Inspired Decoupled Wings",2020,"IEEE Robotics and Automation Letters","5","3", 9001181,"4194","4201",,5,"10.1109/LRA.2020.2974717","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085606499&doi=10.1109%2fLRA.2020.2974717&partnerID=40&md5=12fbb7cdbc640be1e6927b4aecb5391f","School of Mechanical Engineering, Purdue University, West Lafayette, IN  47907, United States","Tu, Z., School of Mechanical Engineering, Purdue University, West Lafayette, IN  47907, United States; Fei, F., School of Mechanical Engineering, Purdue University, West Lafayette, IN  47907, United States; Deng, X., School of Mechanical Engineering, Purdue University, West Lafayette, IN  47907, United States","Biologically-inspired robots; flapping wing; micro aerial vehicle; untethered flight","Agricultural robots; Biomimetics; Micro air vehicle (MAV); Robots; Detailed modeling; Flapping wing micro air vehicle; Flight experiments; Outdoor environment; Power efficiency; Reciprocating motion; System integration; Under-actuation; Wings",,,,,"Deng, X.; School of Mechanical Engineering, United States; email: xdeng@purdue.edu","Institute of Electrical and Electronics Engineers Inc."
"Adhvaryyu S., Adhvaryyu P.K.","57204937740;56341468900;","Application of bio-inspired social spider algorithm in multi-area economic emission dispatch of solar, wind and CHP-based power system",2020,"Soft Computing","24","13",,"9611","9624",,,"10.1007/s00500-019-04468-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074833484&doi=10.1007%2fs00500-019-04468-4&partnerID=40&md5=68f8347ac98d68d96d1b04df50d20ca4","Electrical Engineering Department, NSHM Faculty of Engineering and Technology, Durgapur, 713212, India; KK College of Engineering and Management, Nairo, Govindpur, Dhanbad, 828109, India","Adhvaryyu, S., Electrical Engineering Department, NSHM Faculty of Engineering and Technology, Durgapur, 713212, India; Adhvaryyu, P.K., KK College of Engineering and Management, Nairo, Govindpur, Dhanbad, 828109, India",,"Biomimetics; Vector spaces; Attenuation rate; Combined heat and power; Control parameters; Economic-emission dispatch; Minimization of costs; Target vibrations; Transmission loss; Valve point effects; Power generation",,,,,"Adhvaryyu, P.K.; KK College of Engineering and Management, Nairo, Govindpur, India; email: pka_03@yahoo.com","Springer"
